NWR,FLI (Day),FBI (Day),FLI (%),FBI (%),FLIDELTA,FBIDELTA,FLI_102030_avg_rate,FBI_102030_avg_rate,"FLI SD, AVG"
COLDWATER RIVER NATIONAL WILDLIFE REFUGE  ,43.33605,74.98434,64.38398,24.00834,23.68698,30.16727,0.234473454,-0.309575857,9.810266
COLUMBIA NATIONAL WILDLIFE REFUGE  ,82.99757,118.852,19.83397,39.30016,20.33942,43.52556,-0.620347832,-0.127948381,8.06942
COLUSA NATIONAL WILDLIFE REFUGE  ,40.01387,82.25254,1.083654,18.68277,0.2339455,18.75073,-1.215877263,-0.917834818,5.979801
CONBOY LAKE NATIONAL WILDLIFE REFUGE  ,100.5197,140.5451,38.85411,74.41731,45.97029,23.75716,-0.180575235,0.281275692,9.970586
CONSCIENCE POINT NATIONAL WILDLIFE REFUGE  ,87.45835,122.4322,7.013292,1.083654,14.32916,0.2339455,-0.940269106,-0.909902492,10.11564
COPALIS NATIONAL WILDLIFE REFUGE  ,47.75109,104.5244,4.52869,15.17778,6.322062,16.53995,-1.923603956,-1.792617009,9.448928
CRAB ORCHARD NATIONAL WILDLIFE REFUGE  ,65.72956,96.36373,23.61512,1.8005,31.13814,2.254933,-0.364428453,-0.709079959,9.293327
CRANE MEADOWS NATIONAL WILDLIFE REFUGE  ,106.9281,135.0156,1.083654,7.037651,0.2339455,13.84894,-0.942680496,-0.676323075,9.443705
CREEDMAN COULEE NATIONAL WILDLIFE REFUGE  ,108.5751,142.7244,13.26245,43.45747,18.96619,37.53655,-0.770811342,-0.092644688,8.143187
CRESCENT LAKE NATIONAL WILDLIFE REFUGE  ,89.79992,126.4634,3.811844,8.398433,4.171525,12.14114,-1.065039908,-0.462785604,7.937413
CROCODILE LAKE NATIONAL WILDLIFE REFUGE  ,12.77407,26.72222,46.97923,50.38616,39.27945,34.22623,-0.007002343,0.01395516,3.146964
