,FLI (10 Year),FLI (20 Year),FLI (30 Year),FBI (10 Year),FBI (20 Year),FBI (30 Year),FLI10 (%),FLI20 (%),FLI30 (%),FBI10 (%),FBI20 (%),FBI30 (%)
WALLOPS ISLAND NATIONAL WILDLIFE REFUGE  ,58.59104,56.51921,56.62103,96.81254,96.16818,96.42006,46.60194,15.05376,8.433735,20.38835,4.301075,1.204819
WAPACK NATIONAL WILDLIFE REFUGE  ,103.9456,104.9463,105.3181,131.9814,133.1982,134.0781,1.941748,1.075269,1.204819,0.9708738,1.075269,1.204819
WAPANOCCA NATIONAL WILDLIFE REFUGE  ,52.12994,51.16984,50.73731,83.5112,84.7511,84.25403,57.28155,43.01075,36.14458,9.708738,16.12903,1.204819
WAPATO LAKE NATIONAL WILDLIFE REFUGE  ,55.22341,56.05545,56.50037,109.7072,109.0592,106.6851,9.708738,8.602151,4.819277,29.12621,22.58065,7.228916
WAR HORSE NATIONAL WILDLIFE REFUGE  ,98.07536,99.8448,98.76194,135.5426,136.3472,135.1244,9.708738,19.35484,4.819277,36.8932,44.08602,18.07229
WASHITA NATIONAL WILDLIFE REFUGE  ,53.10296,53.43398,52.72544,84.61462,86.90525,86.94073,23.30097,16.12903,2.409639,0.9708738,8.602151,1.204819
WASSAW NATIONAL WILDLIFE REFUGE  ,29.93991,29.22721,29.34665,59.06555,56.5767,56.22432,73.78641,63.44086,59.03614,82.52427,60.21505,57.83133
WATERCRESS DARTER NATIONAL WILDLIFE REFUGE  ,42.28307,40.32077,40.42186,73.25575,72.20848,72.04427,73.78641,62.36559,59.03614,42.71845,38.70968,21.68675
WAUBAY NATIONAL WILDLIFE REFUGE  ,105.1589,108.1711,107.7246,132.9582,135.1515,134.5581,0.9708738,5.376344,1.204819,5.825243,20.43011,4.819277
WERTHEIM NATIONAL WILDLIFE REFUGE  ,88.16661,87.78089,87.65817,121.289,121.8835,122.7765,11.65049,3.225806,1.204819,0.9708738,1.075269,1.204819
WEST SISTER ISLAND NATIONAL WILDLIFE REFUGE  ,91.40176,93.22591,92.79078,120.5298,122.9917,123.6817,2.912621,4.301075,1.204819,0.9708738,1.075269,1.204819
WHEELER NATIONAL WILDLIFE REFUGE  ,48.35109,46.07246,45.8656,80.57233,80.50984,80.29106,66.99029,40.86022,31.3253,29.12621,21.50538,3.614458
WHITE LAKE NATIONAL WILDLIFE REFUGE  ,104.3496,106.7475,105.9336,137.6372,138.7062,137.8749,4.854369,19.35484,2.409639,19.41748,29.03226,15.66265
WHITTLESEY CREEK NATIONAL WILDLIFE REFUGE  ,107.8053,111.6704,112.3931,141.2806,142.4569,141.9114,0.9708738,1.075269,1.204819,7.76699,13.97849,1.204819
WICHITA MOUNTAINS WILDLIFE REFUGE  ,45.94823,46.31814,45.96918,77.22713,78.68567,78.41419,33.98058,32.25806,10.84337,2.912621,10.75269,1.204819
WILLAPA NATIONAL WILDLIFE REFUGE  ,41.62815,42.75445,43.26001,95.56968,95.6375,93.74275,6.796117,7.526882,2.409639,23.30097,19.35484,6.024096
WILLIAM L. FINLEY NATIONAL WILDLIFE REFUGE  ,49.33569,50.28864,50.89292,103.3742,102.5834,100.3199,6.796117,5.376344,1.204819,29.12621,22.58065,7.228916
WILLOW LAKE NATIONAL WILDLIFE REFUGE  ,110.8552,115.0637,114.5366,141.9197,142.9337,142.2586,0.9708738,5.376344,1.204819,12.62136,23.65591,9.638554
WOLF ISLAND NATIONAL WILDLIFE REFUGE  ,28,27.83333,28.06667,57.26667,54.96667,54.63333,63.1068,56.98925,60.24096,83.49515,61.29032,59.03614
YAZOO NATIONAL WILDLIFE REFUGE  ,40.10672,37.42062,37.96299,69.82439,68.29892,68.39953,77.6699,63.44086,60.24096,59.2233,47.31183,39.75904
YUKON DELTA NATIONAL WILDLIFE REFUGE  ,144.6852,144.8957,146.12,175.7531,176.0898,176.8836,8.737864,2.150538,7.228916,12.62136,8.602151,4.819277
YUKON FLATS NATIONAL WILDLIFE REFUGE  ,132.3783,133.3512,134.6025,155.1288,156.4059,157.2543,0.9708738,1.075269,1.204819,0.9708738,1.075269,1.204819
