,FLI (10 Year),FLI (20 Year),FLI (30 Year),FBI (10 Year),FBI (20 Year),FBI (30 Year),FLI10 (%),FLI20 (%),FLI30 (%),FBI10 (%),FBI20 (%),FBI30 (%)
COACHELLA VALLEY NATIONAL WILDLIFE REFUGE  ,28.06613,28.26444,28.71015,56.96791,56.62167,56.65111,5.825243,1.075269,2.409639,22.3301,19.35484,12.04819
COKEVILLE MEADOWS NATIONAL WILDLIFE REFUGE  ,120.3829,121.1575,119.9779,156.9383,156.5049,155.2834,36.8932,51.6129,12.04819,81.5534,88.17204,73.49398
COLD SPRINGS NATIONAL WILDLIFE REFUGE  ,83.73552,84.14563,82.39945,124.0495,123.6346,121.3851,23.30097,26.88172,10.84337,70.87379,65.5914,18.07229
COLDWATER RIVER NATIONAL WILDLIFE REFUGE  ,44.87915,42.53331,42.5957,75.54195,74.71263,74.69843,76.69903,63.44086,53.01205,39.80583,22.58065,9.638554
COLUMBIA NATIONAL WILDLIFE REFUGE  ,82.74097,83.99011,82.26163,119.5103,119.6294,117.4162,17.47573,31.1828,10.84337,54.36893,52.68817,10.84337
COLUSA NATIONAL WILDLIFE REFUGE  ,38.78701,40.2216,41.033,82.99875,82.30702,81.45185,0.9708738,1.075269,1.204819,27.18447,20.43011,8.433735
CONBOY LAKE NATIONAL WILDLIFE REFUGE  ,101.4963,101.1846,98.87834,141.7957,140.7358,139.1038,59.2233,44.08602,13.25301,86.40777,74.19355,62.6506
CONSCIENCE POINT NATIONAL WILDLIFE REFUGE  ,87.95575,87.35163,87.06767,121.8418,122.3228,123.132,15.53398,4.301075,1.204819,0.9708738,1.075269,1.204819
COPALIS NATIONAL WILDLIFE REFUGE  ,46.84857,48.04768,48.35703,105.014,105.2008,103.3584,4.854369,7.526882,1.204819,21.35922,19.35484,4.819277
CRAB ORCHARD NATIONAL WILDLIFE REFUGE  ,66.89219,65.02732,65.26917,95.21509,96.74099,97.13512,40.7767,20.43011,9.638554,0.9708738,3.225806,1.204819
CRANE MEADOWS NATIONAL WILDLIFE REFUGE  ,104.4044,107.9259,108.4541,133.7573,135.881,135.4086,0.9708738,1.075269,1.204819,4.854369,15.05376,1.204819
CREEDMAN COULEE NATIONAL WILDLIFE REFUGE  ,108.1136,109.5603,108.0514,143.4454,143.0373,141.6904,13.59223,22.58065,3.614458,59.2233,49.46237,21.68675
